keyword,group
서울서부지역본부,한국자산관리공사
서울동부지역본부,한국자산관리공사
서울지역본부,한국자산관리공사
인천지역본부,한국자산관리공사
전라남도 동부지역본부,한국자산관리공사
전북지역본부,한국자산관리공사
충북지역본부,한국자산관리공사
강원지역본부,한국자산관리공사
경기지역본부,한국자산관리공사
경남지역본부,한국자산관리공사
경상북도 환동해지역본부,한국자산관리공사
광주전남지역본부,한국자산관리공사
대구경북지역본부,한국자산관리공사
대전충남지역본부,한국자산관리공사
부산지역본부,한국자산관리공사
해군 제1함대사령부,국방부
해군교육사령부,국방부
해군인천해역방어사령부,국방부
해군작전사령부,국방부
해군잠수함사령부,국방부
해군재경근무지원대대,국방부
해군제3함대사령부,국방부
해군제주기지전대,국방부
2167부대,국방부
4284부대,국방부
6112부대,국방부
